 gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
-0.071222,0.220787,-0.972718,-0.118956,0.257277,-0.958988,-0.098,0.243,-20.0,77.1,451.8,0.094,0.11,0.092,0.3,0.0,0.25,0.0,0.0,1.34,0.0,0.36,0.13,0.0,0.11,0.0,0.0,0.2,0.29,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.073479,0.209914,-0.974955,-0.174205,0.26805,-0.947524,-0.128,0.244,-19.3,77.5,455.5,0.111,0.117,0.087,0.19,0.0,0.15,0.0,0.0,1.2,0.0,0.5,0.09,0.05,0.07,0.0,0.0,0.37,0.38,0.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.058227,0.203703,-0.9773,-0.103196,0.264903,-0.958737,-0.083,0.237,-20.0,77.1,451.7,0.093,0.112,0.093,0.31,0.0,0.22,0.0,0.0,1.08,0.0,0.42,0.12,0.1,0.07,0.02,0.0,0.2,0.23,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.080179,0.203093,-0.975871,-0.204029,0.261874,-0.943289,-0.147,0.238,-19.3,77.6,455.3,0.105,0.115,0.089,0.25,0.0,0.24,0.0,0.02,1.13,0.0,0.38,0.08,0.13,0.02,0.02,0.0,0.27,0.19,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.085815,0.196087,-0.976824,-0.153527,0.291753,-0.944092,-0.124,0.249,-19.1,76.7,451.6,0.108,0.107,0.089,0.36,0.0,0.29,0.0,0.01,1.15,0.0,0.27,0.16,0.08,0.12,0.02,0.0,0.17,0.09,0.65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08122,0.205736,-0.975231,-0.176227,0.283259,-0.942713,-0.133,0.25,-19.1,76.4,451.3,0.123,0.111,0.089,0.43,0.0,0.25,0.03,0.02,1.37,0.0,0.27,0.16,0.03,0.1,0.01,0.0,0.24,0.11,0.65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.077825,0.24052,-0.967519,-0.17102,0.276293,-0.945735,-0.129,0.264,-19.0,75.8,449.1,0.134,0.108,0.088,0.39,0.0,0.19,0.16,0.03,1.5,0.0,0.25,0.16,0.0,0.09,0.01,0.0,0.16,0.16,0.62,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.066002,0.237091,-0.969243,-0.179587,0.313115,-0.932581,-0.128,0.282,-18.9,75.5,448.3,0.144,0.106,0.09,0.41,0.0,0.23,0.26,0.07,1.76,0.0,0.32,0.14,0.0,0.0,0.06,0.0,0.12,0.17,0.65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.026869,0.240221,-0.970346,-0.169393,0.304062,-0.937471,-0.103,0.278,-18.8,74.9,445.3,0.14,0.102,0.091,0.31,0.0,0.33,0.38,0.09,1.81,0.0,0.31,0.2,0.06,0.01,0.1,0.0,0.04,0.16,0.58,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.033601,0.281166,-0.959071,-0.183961,0.303508,-0.934902,-0.114,0.299,-18.8,74.8,444.7,0.159,0.112,0.09,0.38,0.0,0.34,0.33,0.1,1.84,0.0,0.4,0.21,0.06,0.04,0.15,0.0,0.03,0.09,0.64,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.020119,0.247191,-0.968758,-0.162375,0.284706,-0.944763,-0.095,0.271,-18.7,74.6,444.2,0.146,0.101,0.092,0.42,0.0,0.31,0.22,0.06,1.73,0.0,0.37,0.2,0.06,0.11,0.16,0.0,0.0,0.04,0.73,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.04531,0.264531,-0.963312,-0.16286,0.318223,-0.933922,-0.109,0.298,-18.7,75.1,446.4,0.16,0.108,0.091,0.53,0.02,0.31,0.08,0.03,1.55,0.0,0.38,0.16,0.0,0.13,0.24,0.0,0.0,0.06,0.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.051539,0.244145,-0.968368,-0.191027,0.325342,-0.9261,-0.127,0.292,-18.7,75.2,447.4,0.173,0.117,0.089,0.56,0.02,0.34,0.0,0.01,1.44,0.0,0.42,0.19,0.0,0.12,0.19,0.0,0.0,0.05,0.94,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.060399,0.25335,-0.965487,-0.200823,0.31944,-0.926082,-0.137,0.294,-18.6,75.3,447.5,0.17,0.113,0.093,0.48,0.02,0.36,0.0,0.01,1.32,0.0,0.43,0.2,0.0,0.09,0.2,0.0,0.0,0.11,0.89,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.029595,0.241187,-0.970027,-0.197046,0.3341,-0.92171,-0.119,0.295,-18.5,75.0,446.2,0.17,0.112,0.094,0.35,0.0,0.25,0.0,0.01,1.17,0.0,0.44,0.21,0.0,0.11,0.15,0.0,0.02,0.06,0.85,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.052373,0.250453,-0.966711,-0.167944,0.318278,-0.933003,-0.115,0.291,-18.5,74.8,444.7,0.163,0.106,0.096,0.22,0.0,0.2,0.0,0.01,1.06,0.0,0.34,0.2,0.0,0.08,0.28,0.0,0.1,0.07,0.76,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.010994,0.280334,-0.95984,-0.191081,0.320243,-0.927865,-0.107,0.308,-18.4,74.8,444.7,0.164,0.108,0.095,0.19,0.0,0.15,0.02,0.01,0.91,0.0,0.33,0.16,0.0,0.11,0.23,0.0,0.15,0.02,0.79,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.004036,0.277962,-0.960583,-0.210829,0.339323,-0.916739,-0.114,0.318,-18.3,74.2,441.5,0.172,0.111,0.096,0.12,0.0,0.21,0.02,0.01,0.97,0.01,0.37,0.15,0.0,0.14,0.2,0.0,0.15,0.02,0.64,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003578,0.299932,-0.953954,-0.251164,0.331237,-0.909505,-0.136,0.327,-18.4,74.7,443.6,0.199,0.124,0.094,0.05,0.0,0.17,0.04,0.03,0.96,0.01,0.39,0.14,0.0,0.21,0.09,0.0,0.34,0.02,0.73,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.010657,0.29029,-0.956879,-0.189173,0.341868,-0.92051,-0.106,0.325,-18.5,74.1,439.9,0.166,0.106,0.103,0.03,0.0,0.18,0.12,0.05,1.05,0.01,0.39,0.17,0.0,0.21,0.09,0.0,0.45,0.03,0.71,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.005514,0.305413,-0.952204,-0.20792,0.332846,-0.919773,-0.114,0.329,-18.3,74.6,442.8,0.16,0.103,0.097,0.03,0.0,0.15,0.18,0.05,1.08,0.0,0.3,0.16,0.01,0.18,0.04,0.0,0.59,0.03,0.74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003807,0.26756,-0.963534,-0.191519,0.332511,-0.923449,-0.099,0.308,-18.1,74.1,440.6,0.161,0.102,0.098,0.03,0.0,0.19,0.24,0.01,1.17,0.0,0.33,0.14,0.01,0.18,0.02,0.0,0.45,0.06,0.69,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.020061,0.277029,-0.960652,-0.158386,0.321849,-0.933449,-0.094,0.306,-18.2,74.2,441.3,0.152,0.098,0.099,0.01,0.0,0.22,0.25,0.0,1.18,0.0,0.38,0.14,0.01,0.14,0.02,0.0,0.36,0.05,0.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.009432,0.293322,-0.955967,-0.13991,0.31248,-0.939565,-0.079,0.309,-18.2,74.2,441.0,0.157,0.099,0.099,0.01,0.0,0.26,0.28,0.0,1.18,0.0,0.37,0.13,0.0,0.1,0.04,0.0,0.28,0.09,0.78,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002109,0.255602,-0.96678,-0.151784,0.312825,-0.937604,-0.078,0.29,-18.1,74.2,440.9,0.16,0.101,0.098,0.02,0.0,0.25,0.33,0.01,1.03,0.0,0.33,0.17,0.0,0.1,0.14,0.0,0.23,0.1,0.77,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.4e-05,0.265156,-0.964206,-0.144702,0.321015,-0.935954,-0.076,0.299,-18.1,74.2,441.1,0.165,0.105,0.096,0.05,0.0,0.2,0.21,0.01,0.95,0.0,0.28,0.19,0.0,0.13,0.22,0.0,0.26,0.09,0.74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.008923,0.283391,-0.958963,-0.139013,0.328625,-0.934174,-0.078,0.313,-18.1,74.2,441.0,0.176,0.107,0.093,0.05,0.02,0.19,0.12,0.01,0.87,0.0,0.31,0.25,0.0,0.19,0.2,0.0,0.18,0.12,0.69,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006762,0.293171,-0.956036,-0.138857,0.307374,-0.941403,-0.07,0.307,-18.2,74.4,442.2,0.177,0.106,0.094,0.1,0.02,0.25,0.0,0.0,0.95,0.0,0.31,0.28,0.0,0.16,0.08,0.0,0.11,0.09,0.63,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003453,0.258806,-0.965923,-0.15188,0.271344,-0.950423,-0.081,0.27,-18.2,74.4,442.0,0.169,0.104,0.094,0.08,0.03,0.36,0.0,0.02,1.12,0.01,0.29,0.27,0.0,0.11,0.03,0.0,0.0,0.16,0.63,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017031,0.301158,-0.953422,-0.153258,0.274311,-0.94935,-0.071,0.294,-18.3,74.4,441.7,0.173,0.106,0.097,0.08,0.17,0.31,0.05,0.02,1.14,0.01,0.26,0.26,0.0,0.05,0.1,0.0,0.07,0.1,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.015914,0.273032,-0.961873,-0.152976,0.29605,-0.942843,-0.088,0.29,-18.3,74.2,440.9,0.171,0.108,0.097,0.03,0.29,0.28,0.16,0.02,1.22,0.01,0.27,0.25,0.0,0.02,0.15,0.0,0.14,0.07,0.57,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.03011,0.267651,-0.963045,-0.14018,0.280439,-0.949581,-0.089,0.279,-18.2,74.1,440.5,0.166,0.103,0.096,0.02,0.35,0.19,0.27,0.0,1.19,0.0,0.23,0.29,0.02,0.03,0.23,0.0,0.18,0.0,0.51,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.018604,0.307776,-0.951277,-0.11318,0.294285,-0.948992,-0.069,0.307,-18.3,74.5,441.9,0.174,0.107,0.095,0.1,0.19,0.15,0.36,0.0,1.46,0.0,0.31,0.32,0.02,0.14,0.19,0.0,0.14,0.0,0.58,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.034425,0.26392,-0.96393,-0.124149,0.310698,-0.942366,-0.083,0.293,-18.3,75.3,445.1,0.164,0.103,0.096,0.15,0.07,0.13,0.37,0.0,1.43,0.0,0.35,0.35,0.02,0.28,0.24,0.0,0.07,0.0,0.65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.041399,0.273499,-0.960981,-0.172622,0.288836,-0.941688,-0.112,0.287,-18.5,75.7,447.4,0.177,0.116,0.093,0.2,0.0,0.12,0.32,0.01,1.5,0.0,0.44,0.32,0.0,0.25,0.23,0.0,0.03,0.0,0.71,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.07127,0.262104,-0.962404,-0.143939,0.301026,-0.94269,-0.112,0.287,-18.2,75.4,445.8,0.161,0.104,0.096,0.23,0.0,0.22,0.21,0.07,1.55,0.01,0.48,0.3,0.04,0.13,0.23,0.0,0.0,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.050092,0.253015,-0.966165,-0.167547,0.303975,-0.937831,-0.114,0.285,-18.3,76.1,448.9,0.173,0.109,0.095,0.22,0.01,0.21,0.09,0.07,1.7,0.01,0.5,0.27,0.05,0.01,0.2,0.0,0.0,0.0,0.76,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.037711,0.239259,-0.970223,-0.158509,0.300368,-0.94056,-0.102,0.275,-18.1,75.8,447.0,0.172,0.107,0.096,0.22,0.02,0.18,0.03,0.09,1.77,0.05,0.5,0.22,0.05,0.01,0.11,0.0,0.0,0.0,0.74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.062239,0.252988,-0.965465,-0.147816,0.237828,-0.959994,-0.109,0.25,-18.1,75.7,446.4,0.164,0.103,0.097,0.21,0.02,0.08,0.0,0.08,1.72,0.05,0.48,0.19,0.03,0.01,0.16,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.020547,0.236525,-0.971408,-0.147676,0.330864,-0.932052,-0.088,0.29,-18.1,75.7,445.9,0.162,0.106,0.096,0.15,0.01,0.08,0.07,0.08,1.68,0.07,0.52,0.19,0.08,0.01,0.18,0.0,0.06,0.01,0.77,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.037158,0.266451,-0.963132,-0.128352,0.256426,-0.958004,-0.047,0.266,-17.8,74.3,439.5,0.168,0.103,0.098,0.16,0.02,0.06,0.07,0.07,1.69,0.04,0.49,0.22,0.1,0.02,0.19,0.0,0.06,0.01,0.86,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024449,0.236562,-0.971309,-0.146157,0.298698,-0.943089,-0.063,0.273,-18.2,75.6,445.5,0.16,0.105,0.098,0.17,0.02,0.12,0.07,0.06,1.66,0.05,0.47,0.22,0.15,0.02,0.2,0.0,0.06,0.01,0.86,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.011941,0.257144,-0.966299,-0.144456,0.293452,-0.944996,-0.082,0.28,-18.1,75.5,444.9,0.162,0.106,0.095,0.17,0.02,0.13,0.0,0.05,1.65,0.03,0.45,0.2,0.15,0.01,0.13,0.0,0.06,0.0,0.81,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012176,0.267763,-0.963408,-0.143633,0.299254,-0.943301,-0.069,0.289,-18.0,74.8,441.2,0.169,0.102,0.098,0.15,0.0,0.2,0.13,0.03,1.67,0.03,0.57,0.22,0.21,0.04,0.15,0.0,0.06,0.0,0.73,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2e-05,0.255973,-0.966684,-0.130583,0.320345,-0.938258,-0.068,0.294,-18.0,74.8,441.1,0.17,0.104,0.097,0.11,0.05,0.2,0.19,0.0,1.59,0.01,0.63,0.22,0.14,0.21,0.14,0.0,0.06,0.0,0.72,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.018443,0.278338,-0.960306,-0.120691,0.337211,-0.933661,-0.073,0.314,-18.0,75.0,441.0,0.174,0.105,0.096,0.11,0.05,0.21,0.25,0.0,1.58,0.03,0.65,0.2,0.08,0.23,0.19,0.0,0.0,0.0,0.66,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.020592,0.277564,-0.960486,-0.13622,0.31993,-0.937597,-0.082,0.305,-17.9,75.0,439.4,0.169,0.101,0.098,0.06,0.05,0.19,0.31,0.0,1.49,0.06,0.53,0.16,0.0,0.22,0.16,0.0,0.0,0.0,0.67,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.024885,0.278095,-0.960231,-0.151556,0.322369,-0.934403,-0.093,0.307,-17.9,75.3,439.6,0.172,0.101,0.098,0.05,0.06,0.14,0.29,0.0,1.45,0.08,0.38,0.13,0.03,0.05,0.16,0.0,0.0,0.0,0.64,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.024425,0.257155,-0.966061,-0.160229,0.325538,-0.931854,-0.097,0.298,-17.9,75.5,440.1,0.17,0.104,0.096,0.05,0.22,0.13,0.23,0.0,1.37,0.06,0.26,0.12,0.03,0.03,0.15,0.0,0.01,0.0,0.71,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01116,0.255411,-0.966768,-0.148472,0.321608,-0.93516,-0.072,0.295,-18.1,75.9,441.4,0.167,0.099,0.1,0.05,0.22,0.13,0.15,0.0,1.51,0.02,0.3,0.14,0.03,0.02,0.22,0.0,0.05,0.0,0.74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012883,0.261822,-0.96503,-0.145199,0.325552,-0.934309,-0.07,0.3,-18.1,76.0,441.1,0.171,0.101,0.1,0.0,0.16,0.19,0.1,0.0,1.55,0.0,0.37,0.14,0.0,0.02,0.18,0.0,0.11,0.0,0.79,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.009249,0.275044,-0.961387,-0.164691,0.327873,-0.930256,-0.092,0.309,-18.1,75.8,440.2,0.169,0.102,0.101,0.02,0.04,0.13,0.18,0.0,1.68,0.0,0.45,0.16,0.01,0.02,0.17,0.0,0.18,0.0,0.81,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013414,0.195755,-0.980561,-0.130129,0.290584,-0.94796,-0.06,0.247,-18.2,76.2,442.6,0.158,0.094,0.101,0.02,0.04,0.11,0.13,0.0,1.58,0.0,0.41,0.14,0.01,0.04,0.09,0.0,0.2,0.0,0.84,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.03284,0.286808,-0.957425,-0.122713,0.309149,-0.943063,-0.082,0.304,-18.3,75.7,440.5,0.16,0.097,0.102,0.05,0.06,0.11,0.18,0.0,1.53,0.04,0.42,0.14,0.01,0.04,0.16,0.0,0.14,0.0,0.92,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
