frame, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
11,-0.161515,0.229231,-0.959878,-0.296678,0.245316,-0.922931,-0.239,0.247,203.5,87.4,574.1,0.374,0.275,0.351,0.0,1.09,1.09,0.56,0.0,1.09,0.0,0.53,0.0,0.78,0.0,0.5,0.0,0.0,0.01,0.78,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.180067,0.230017,-0.956383,-0.291507,0.253558,-0.922351,-0.246,0.252,204.2,87.6,575.0,0.376,0.274,0.353,0.0,1.03,1.06,0.69,0.0,1.23,0.0,0.48,0.0,0.82,0.0,0.52,0.0,0.0,0.01,0.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-0.173735,0.234653,-0.956428,-0.295153,0.262323,-0.918733,-0.245,0.259,204.3,87.8,574.2,0.377,0.276,0.352,0.0,0.9,1.01,0.57,0.0,1.25,0.0,0.48,0.0,0.86,0.0,0.55,0.0,0.0,0.01,0.83,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.173758,0.238083,-0.955576,-0.302263,0.267801,-0.914833,-0.249,0.264,205.1,87.9,574.6,0.378,0.274,0.352,0.0,0.93,1.09,0.52,0.0,1.18,0.0,0.54,0.0,0.75,0.0,0.62,0.0,0.0,0.0,0.9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.17797,0.236859,-0.955104,-0.302755,0.281995,-0.910395,-0.252,0.271,205.9,87.8,575.2,0.381,0.272,0.351,0.0,0.97,1.02,0.27,0.0,1.11,0.0,0.58,0.0,0.68,0.0,0.62,0.0,0.0,0.0,0.93,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.1807,0.238267,-0.954241,-0.305103,0.281502,-0.909763,-0.255,0.272,205.8,87.6,574.8,0.386,0.275,0.349,0.0,1.0,0.93,0.39,0.0,1.08,0.0,0.6,0.0,0.69,0.0,0.69,0.0,0.0,0.0,0.86,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.166843,0.23988,-0.956358,-0.298697,0.267952,-0.915959,-0.244,0.265,206.8,87.5,576.0,0.384,0.271,0.352,0.0,0.81,0.84,0.28,0.0,1.26,0.0,0.63,0.0,0.61,0.0,0.72,0.0,0.0,0.0,0.86,0.07,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.237099,0.298965,-0.92434,-0.304617,0.242253,-0.921152,-0.286,0.285,208.1,87.9,577.8,0.39,0.271,0.352,0.0,0.61,0.93,0.23,0.0,1.65,0.0,0.67,0.0,0.69,0.0,0.77,0.0,0.0,0.0,0.86,0.29,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.290298,0.334378,-0.896615,-0.392516,0.244521,-0.886645,-0.366,0.314,209.2,88.8,579.8,0.384,0.261,0.355,0.0,0.56,1.11,0.0,0.0,1.91,0.0,0.79,0.0,0.71,0.0,0.73,0.0,0.0,0.0,0.85,0.36,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.249016,0.346814,-0.904274,-0.37886,0.241055,-0.893508,-0.336,0.316,208.7,88.8,576.5,0.371,0.266,0.358,0.0,0.64,1.25,0.0,0.0,2.03,0.0,0.8,0.0,0.94,0.0,0.65,0.0,0.0,0.02,0.76,0.29,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.180824,0.276498,-0.943849,-0.356285,0.207998,-0.910932,-0.282,0.256,208.8,88.8,575.3,0.37,0.268,0.361,0.0,0.72,1.24,0.01,0.0,1.81,0.0,0.76,0.0,0.94,0.0,0.61,0.0,0.0,0.02,0.63,0.06,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.186392,0.261146,-0.947133,-0.346004,0.204338,-0.915711,-0.278,0.245,209.0,88.2,574.4,0.365,0.265,0.365,0.0,0.72,1.2,0.08,0.0,1.68,0.0,0.66,0.0,0.85,0.0,0.52,0.0,0.0,0.02,0.63,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.174197,0.236897,-0.95579,-0.343473,0.202247,-0.917127,-0.27,0.23,209.8,88.1,574.9,0.364,0.261,0.369,0.0,0.66,1.07,0.09,0.0,1.5,0.0,0.61,0.0,0.7,0.0,0.53,0.0,0.0,0.0,0.68,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.202475,0.206119,-0.95735,-0.350337,0.19649,-0.915781,-0.287,0.212,209.8,88.0,573.5,0.361,0.258,0.375,0.0,0.57,1.08,0.08,0.0,1.4,0.0,0.63,0.0,0.66,0.0,0.55,0.0,0.0,0.0,0.71,0.01,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.177549,0.303022,-0.936298,-0.343919,0.141643,-0.928255,-0.273,0.234,210.7,88.9,574.7,0.365,0.257,0.372,0.0,0.6,1.2,0.01,0.04,1.68,0.0,0.75,0.0,0.77,0.0,0.63,0.0,0.0,0.0,0.63,0.41,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.228844,0.487496,-0.842602,-0.478367,0.184077,-0.858651,-0.394,0.376,214.0,91.4,583.3,0.369,0.253,0.374,0.0,0.65,1.48,0.0,0.09,2.2,0.0,0.91,0.0,0.98,0.0,0.67,0.0,0.0,0.0,0.44,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.252458,0.478886,-0.840793,-0.443308,0.340707,-0.829094,-0.395,0.456,215.4,92.2,586.1,0.361,0.25,0.377,0.0,0.63,1.61,0.0,0.15,2.62,0.0,0.93,0.0,0.97,0.0,0.58,0.0,0.0,0.0,0.43,1.38,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.303942,0.415115,-0.857496,-0.463023,0.273035,-0.843245,-0.424,0.384,213.9,90.8,580.8,0.353,0.242,0.381,0.0,0.71,1.61,0.0,0.11,2.27,0.0,0.84,0.0,0.88,0.0,0.5,0.0,0.0,0.0,0.53,1.07,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.279225,0.333812,-0.900335,-0.419102,0.210148,-0.883284,-0.373,0.296,213.0,90.4,577.1,0.358,0.242,0.38,0.0,0.71,1.44,0.0,0.07,1.64,0.0,0.71,0.0,0.81,0.0,0.46,0.0,0.0,0.0,0.63,0.54,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.295498,0.278326,-0.913901,-0.432361,0.208941,-0.877159,-0.386,0.266,212.9,91.1,576.0,0.356,0.245,0.378,0.0,0.84,1.26,0.0,0.0,1.32,0.0,0.67,0.0,0.94,0.0,0.53,0.0,0.0,0.0,0.57,0.15,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.322492,0.218192,-0.921081,-0.430203,0.209654,-0.878049,-0.396,0.233,213.2,91.9,576.5,0.353,0.245,0.377,0.0,0.61,1.17,0.0,0.0,1.26,0.0,0.68,0.0,1.08,0.0,0.54,0.0,0.0,0.0,0.62,0.06,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.308844,0.229812,-0.922931,-0.438192,0.210196,-0.873959,-0.394,0.24,213.3,91.9,576.5,0.354,0.24,0.378,0.0,0.73,1.21,0.0,0.0,1.33,0.0,0.69,0.0,1.11,0.0,0.53,0.0,0.0,0.0,0.74,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.287202,0.244527,-0.926133,-0.462479,0.226751,-0.857145,-0.398,0.258,213.1,91.3,575.6,0.357,0.235,0.38,0.0,0.75,1.33,0.0,0.0,1.37,0.0,0.67,0.0,1.07,0.0,0.5,0.0,0.0,0.0,0.85,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-0.29795,0.257122,-0.919301,-0.461063,0.221558,-0.859263,-0.403,0.263,212.8,91.0,574.4,0.351,0.235,0.381,0.0,0.95,1.32,0.0,0.0,1.53,0.0,0.64,0.0,0.9,0.0,0.51,0.0,0.0,0.05,0.86,0.02,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-0.323503,0.216556,-0.921113,-0.46096,0.205377,-0.863328,-0.414,0.232,213.0,91.4,574.7,0.357,0.235,0.38,0.0,0.89,1.22,0.0,0.0,1.6,0.0,0.63,0.0,0.81,0.0,0.52,0.0,0.0,0.13,0.75,0.06,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.318107,0.230031,-0.919725,-0.422376,0.241715,-0.873598,-0.392,0.257,212.9,91.9,574.5,0.358,0.228,0.381,0.0,0.96,1.16,0.0,0.0,1.63,0.0,0.61,0.0,0.8,0.0,0.54,0.0,0.0,0.13,0.64,0.06,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.310543,0.216995,-0.92546,-0.4218,0.212712,-0.881385,-0.385,0.233,213.0,92.2,574.6,0.354,0.227,0.384,0.0,0.93,1.14,0.0,0.0,1.65,0.0,0.65,0.0,0.94,0.0,0.57,0.0,0.0,0.08,0.6,0.12,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-0.259189,0.275039,-0.925837,-0.404476,0.173239,-0.897991,-0.349,0.241,214.0,92.9,576.2,0.355,0.213,0.388,0.24,1.07,1.24,0.0,0.04,1.93,0.0,0.84,0.0,1.08,0.0,0.59,0.0,0.0,0.0,0.57,0.58,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-0.209877,0.49207,-0.844878,-0.512751,0.283083,-0.810525,-0.412,0.438,217.4,95.8,584.1,0.353,0.186,0.395,0.62,1.13,1.27,0.0,0.07,2.1,0.02,0.98,0.0,1.2,0.0,0.66,0.0,0.0,0.0,0.56,1.14,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-0.214352,0.519702,-0.827021,-0.466754,0.318297,-0.825123,-0.391,0.469,219.1,97.6,582.6,0.344,0.164,0.402,0.94,1.16,1.17,0.0,0.13,2.55,0.02,0.98,0.0,1.13,0.0,0.79,0.0,0.0,0.0,0.53,1.58,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-0.197989,0.510048,-0.837049,-0.356209,0.296643,-0.886069,-0.311,0.438,221.7,99.5,580.8,0.367,0.145,0.39,0.87,1.0,1.22,0.0,0.13,2.68,0.02,0.91,0.0,1.2,0.0,0.97,0.0,0.0,0.17,0.57,1.34,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.205252,0.501576,-0.840412,-0.340376,0.357004,-0.86988,-0.309,0.465,225.0,101.7,580.6,0.412,0.133,0.369,0.49,0.59,1.3,0.0,0.12,2.89,0.0,0.77,0.0,1.31,0.0,0.96,0.0,0.0,0.56,0.46,0.78,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-0.117386,0.505624,-0.854731,-0.256792,0.374707,-0.890872,-0.211,0.467,223.5,102.4,565.2,0.439,0.105,0.326,0.17,0.26,1.46,0.0,0.13,2.51,0.0,0.66,0.0,1.5,0.0,0.75,0.0,0.0,1.18,0.38,0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,-0.152189,0.487638,-0.859679,-0.241608,0.3015,-0.922346,-0.217,0.417,226.2,104.8,565.0,0.467,0.102,0.291,0.0,0.01,1.61,0.0,0.14,2.43,0.0,0.46,0.0,1.43,0.0,0.5,0.0,0.0,1.64,0.26,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,-0.15706,0.488749,-0.858171,-0.23197,0.310595,-0.921803,-0.215,0.422,229.0,107.1,567.0,0.498,0.084,0.274,0.0,0.01,1.81,0.0,0.14,2.26,0.0,0.27,0.0,1.19,0.0,0.3,0.0,0.0,1.88,0.44,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
46,-0.075975,0.489022,-0.868957,-0.223527,0.274617,-0.935212,-0.165,0.4,231.2,109.0,569.5,0.522,0.086,0.256,0.0,0.01,2.02,0.0,0.08,2.33,0.0,0.16,0.0,1.06,0.0,0.2,0.0,0.0,1.93,0.52,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
47,-0.057205,0.512689,-0.856667,-0.209256,0.216895,-0.953503,-0.146,0.383,233.3,110.5,572.9,0.544,0.084,0.234,0.0,0.0,2.05,0.0,0.07,2.12,0.03,0.04,0.0,0.81,0.0,0.07,0.0,0.0,2.02,0.66,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
48,-0.096507,0.511472,-0.853863,-0.203197,0.301916,-0.931428,-0.166,0.428,235.8,112.5,578.0,0.558,0.081,0.224,0.0,0.0,1.97,0.0,0.08,1.84,0.05,0.04,0.0,0.81,0.0,0.04,0.0,0.0,2.05,0.61,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
49,-0.062568,0.495945,-0.866097,-0.205205,0.352981,-0.91285,-0.149,0.445,237.5,114.0,581.6,0.564,0.087,0.21,0.0,0.0,2.02,0.0,0.21,1.73,0.12,0.02,0.0,0.8,0.0,0.13,0.0,0.0,1.9,0.58,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
50,-0.048978,0.511601,-0.857826,-0.259281,0.382897,-0.886658,-0.175,0.474,239.0,114.8,584.2,0.57,0.084,0.199,0.0,0.0,2.07,0.0,0.25,1.52,0.2,0.0,0.0,1.0,0.0,0.18,0.0,0.0,1.76,0.58,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
51,-0.035617,0.504718,-0.862549,-0.26244,0.411106,-0.872993,-0.17,0.486,241.4,116.1,588.9,0.572,0.085,0.191,0.0,0.0,2.12,0.0,0.23,1.31,0.26,0.0,0.0,1.14,0.0,0.15,0.0,0.0,1.68,0.58,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
52,-0.019704,0.545706,-0.837745,-0.253995,0.418331,-0.872058,-0.159,0.513,243.9,117.4,594.1,0.582,0.091,0.181,0.0,0.0,2.04,0.0,0.15,1.01,0.26,0.01,0.0,1.18,0.0,0.1,0.0,0.0,1.8,0.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
53,-0.035554,0.493991,-0.86874,-0.349422,0.379863,-0.856509,-0.22,0.469,242.6,117.6,590.9,0.642,0.097,0.152,0.0,0.0,1.87,0.0,0.2,0.76,0.15,0.09,0.05,1.25,0.0,0.04,0.0,0.0,1.84,0.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
54,-0.049387,0.479224,-0.876302,-0.287084,0.348811,-0.89214,-0.188,0.438,238.8,116.5,582.1,0.699,0.093,0.142,0.0,0.0,1.76,0.0,0.23,0.49,0.06,0.18,0.05,1.15,0.0,0.04,0.0,0.0,2.04,0.59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
55,0.001447,0.567592,-0.823309,-0.311851,0.374963,-0.873013,-0.181,0.507,239.0,116.5,582.2,0.684,0.085,0.159,0.0,0.0,1.68,0.0,0.36,0.49,0.0,0.25,0.05,1.14,0.0,0.0,0.0,0.0,2.17,0.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56,0.016938,0.549802,-0.835123,-0.265172,0.308445,-0.913535,-0.141,0.456,239.6,117.0,584.0,0.688,0.075,0.17,0.0,0.0,1.64,0.0,0.34,0.46,0.01,0.18,0.0,0.97,0.0,0.0,0.0,0.0,2.41,0.73,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
57,0.037531,0.591875,-0.805156,-0.236092,0.409536,-0.881216,-0.117,0.536,240.4,117.4,585.8,0.682,0.069,0.186,0.0,0.0,1.55,0.0,0.4,0.66,0.08,0.12,0.0,0.97,0.0,0.0,0.0,0.0,2.23,0.77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
58,0.006482,0.518388,-0.855121,-0.226104,0.388664,-0.893206,-0.125,0.479,242.1,118.2,589.4,0.681,0.071,0.179,0.0,0.0,1.67,0.0,0.28,0.56,0.08,0.07,0.0,0.87,0.0,0.0,0.0,0.0,2.31,0.73,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
59,-0.018529,0.612265,-0.790436,-0.229174,0.411791,-0.881991,-0.147,0.549,240.4,117.9,587.3,0.68,0.08,0.196,0.0,0.0,1.8,0.0,0.21,0.54,0.15,0.07,0.0,0.92,0.0,0.0,0.0,0.0,2.36,0.76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
60,-0.0431,0.626707,-0.778062,-0.275914,0.345957,-0.896764,-0.188,0.526,240.1,117.9,587.8,0.683,0.068,0.218,0.0,0.0,1.87,0.0,0.1,0.4,0.15,0.03,0.0,0.89,0.0,0.0,0.0,0.0,2.57,0.81,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
61,-0.069833,0.58903,-0.805088,-0.238217,0.321074,-0.916605,-0.177,0.486,240.3,118.0,589.3,0.674,0.073,0.234,0.0,0.0,1.86,0.0,0.04,0.29,0.17,0.0,0.0,0.84,0.0,0.0,0.0,0.0,2.56,0.92,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
62,-0.009467,0.640099,-0.768234,-0.238342,0.275389,-0.931318,-0.145,0.494,239.9,118.4,590.0,0.67,0.075,0.248,0.0,0.16,1.91,0.0,0.0,0.38,0.13,0.02,0.0,0.77,0.0,0.0,0.0,0.0,2.5,0.94,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
63,-0.014224,0.617282,-0.786614,-0.280582,0.314206,-0.906945,-0.172,0.503,239.7,118.8,590.3,0.675,0.077,0.252,0.0,0.46,2.04,0.0,0.0,0.45,0.09,0.02,0.0,0.61,0.0,0.0,0.0,0.0,2.53,1.08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
